,Product Name,Product URL,Product Price,Rating,Number of Reviews
277,NIVIA String Bag/Drawstring Bag/Sports Bag Boys/Polyester String Bag/Kit Bags/Drawstring Sports Bag/Dori Backpack/Gym Bag/String Bag Men Waterproof/Drawstring Backpack (Sky Blue),https://www.amazon.in/Nivia-5177SB-Polyester-String-Blue/dp/B071XMLFTL/ref=sr_1_206?crid=2M096C61O4MLT&keywords=bags&qid=1675578898&sprefix=ba%2Caps%2C283&sr=8-206,193,5.0 out of 5 stars,6
278,ADISA Women's & Girls' Sling Bag,https://www.amazon.in/ADISA-SL5022-black-women-girls/dp/B07NPXWFXX/ref=sr_1_207?crid=2M096C61O4MLT&keywords=bags&qid=1675578898&sprefix=ba%2Caps%2C283&sr=8-207,495,4.5 out of 5 stars,77
279,Wildcraft Turnaround Polyester 14 inch 27 Ltrs Blue Laptop Bag (8903340000000),https://www.amazon.in/Wildcraft-Turnaround-Polyester-Laptop-8903340000000/dp/B012D4QWES/ref=sr_1_208?crid=2M096C61O4MLT&keywords=bags&qid=1675578898&sprefix=ba%2Caps%2C283&sr=8-208,"1,755",4.4 out of 5 stars,13
280,"Chic Buddy Waterproof Wet Bag, Washable, Reusable for Travel, Beach, Pool, Stroller, Diapers, Dirty Gym Clothes, Wet Swimsuits, Toiletries",https://www.amazon.in/Chic-Buddy-Waterproof-Swimsuits-Toiletries/dp/B09KS97LZH/ref=sr_1_209?crid=2M096C61O4MLT&keywords=bags&qid=1675578898&sprefix=ba%2Caps%2C283&sr=8-209,299,4.1 out of 5 stars,368
281,CRAFTS MY DREAM Women's Cross Body (Multicolor) Rose casual sling Bag,https://www.amazon.in/Crafts-My-Dream-Womens-CMD2904/dp/B0100BD0IW/ref=sr_1_210?crid=2M096C61O4MLT&keywords=bags&qid=1675578898&sprefix=ba%2Caps%2C283&sr=8-210,299,4.0 out of 5 stars,784
282,"Arctic Hunter Gaming Backpack Laptop Bag for 15.6 inch Laptop Biking Backpack for Men Water-Resistant Stylish Semi-Hard Armored Backpack with USB Port for Men and Women Daily Use Students, Black",https://www.amazon.in/Semi-Hard-Anti-Theft-Backpack-Waterproof-Charging/dp/B07X399726/ref=sr_1_211?crid=2M096C61O4MLT&keywords=bags&qid=1675578898&sprefix=ba%2Caps%2C283&sr=8-211,"2,799",3.9 out of 5 stars,57
283,BROGBUS Leather Men Bag Business Messenger,https://www.amazon.in/BROGBUS-Business-Messenger-Sling-10-05inch/dp/B09QLD9GJY/ref=sr_1_212?crid=2M096C61O4MLT&keywords=bags&qid=1675578898&sprefix=ba%2Caps%2C283&sr=8-212,989,4.1 out of 5 stars,"18,227"
284,Urban Tribe Amigo Backpack 15.6 Inch| Water Repellent |31 litres | Laptop Backpack for Men and Women,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTozNzUzODkxMDgxOTMyNTcyOjE2NzU1Nzg4OTg6c3BfYnRmOjIwMTA0MTQwMjYzMzk4OjowOjo&url=%2FUrban-Backpack-Repellent-litres-Laptop%2Fdp%2FB08X2FD3T8%2Fref%3Dsr_1_213_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1675578898%26sprefix%3Dba%252Caps%252C283%26sr%3D8-213-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1,"2,969",4.2 out of 5 stars,"1,498"
285,"uppercase Medium 21L Quilted Laptop Backpack 2500EBP2 3x more water repellent sustainable bags with rain proof zippers for Men, Women, Boys and Girls, 750 Days warranty",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTozNzUzODkxMDgxOTMyNTcyOjE2NzU1Nzg4OTg6c3BfYnRmOjIwMTAyMjI3OTI5Mzk4OjowOjo&url=%2Fuppercase-Backpack-2500EBP2-repellent-sustainable%2Fdp%2FB0BNVXG27V%2Fref%3Dsr_1_214_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1675578898%26sprefix%3Dba%252Caps%252C283%26sr%3D8-214-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1,"1,400",4.0 out of 5 stars,"1,534"
286,"Wenger CITY TRAVELER Laptop Backpack for 16 Inch Laptop & 12 Inch Tablet Pocket, Doubles as an overnighter in Black (16 Litre)-blend of style & function, Swiss designed, 606490",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo4NTcwODcwMjIzMTc0NDY3OjE2NzU1Nzg5MDU6c3BfYXRmX25leHQ6MjAwNTgxNDM4NzQyOTg6OjA6Og&url=%2FWenger-Black-Laptop-Backpack-606490%2Fdp%2FB07QJGLHH5%2Fref%3Dsr_1_209_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1675578905%26sprefix%3Dba%252Caps%252C283%26sr%3D8-209-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1,"7,450",4.1 out of 5 stars,34
